"TOA5","blynken","CR300","36594","CR300-CELL210.11.3.0","CPU:blynken.df84130b24f674375003011e71973b5b.dld","28117","WindUltra"
"TIMESTAMP","RECORD","WindU","WindV"
"TS","RN","",""
"","","Smp","Smp"
"2026-07-27 14:00:00",170,-5.251,-0.549
"2026-07-27 15:00:00",171,-6.451,-0.817
"2026-07-27 16:00:00",172,-4.786,0.934
"2026-07-27 17:00:00",173,-3.023,1.009
"2026-07-27 18:00:00",174,-5.243,-0.738
"2026-07-27 19:00:00",175,-3.966,-1.308
"2026-07-27 20:00:00",176,-3.256,0.213
"2026-07-27 21:00:00",177,-2.666,-1.11
"2026-07-27 22:00:00",178,-3.028,-0.471
"2026-07-27 23:00:00",179,-2.856,-0.856
"2026-07-28 00:00:00",180,-3.437,0.377
"2026-07-28 01:00:00",181,-2.014,-1.508
"2026-07-28 02:00:00",182,0.474,-0.313
"2026-07-28 03:00:00",183,-1.609,0.117
"2026-07-28 04:00:00",184,-1.566,0.883
"2026-07-28 05:00:00",185,-0.435,0.358
"2026-07-28 06:00:00",186,-1.426,-0.335
"2026-07-28 07:00:00",187,-0.301,0.106
"2026-07-28 08:00:00",188,-1.602,1.23
"2026-07-28 09:00:00",189,-1.463,0.554
"2026-07-28 10:00:00",190,-1.087,-0.393
"2026-07-28 11:00:00",191,-5.195,-0.257
"2026-07-28 12:00:00",192,-5.144,0.08
"2026-07-28 13:00:00",193,-4.672,0.085
"2026-07-28 14:00:00",194,-2.761,-0.102
"2026-07-28 15:00:00",195,-3.772,0.859
"2026-07-28 16:00:00",196,-5.122,-0.387
"2026-07-28 17:00:00",197,-4.246,0.835
"2026-07-28 18:00:00",198,-5.251,-1.745
"2026-07-28 19:00:00",199,-3.121,-1.569
"2026-07-28 20:00:00",200,-3.502,-1.668
"2026-07-28 21:00:00",201,-2.969,-2.055
"2026-07-28 22:00:00",202,-4.998,-1.385
"2026-07-28 23:00:00",203,-1.649,-0.29
"2026-07-29 00:00:00",204,-3.296,0.482
"2026-07-29 01:00:00",205,-1.962,0.379
"2026-07-29 02:00:00",206,-2.261,1.065
"2026-07-29 03:00:00",207,-0.475,1.461
"2026-07-29 04:00:00",208,-2.119,0.796
"2026-07-29 05:00:00",209,-3.187,0.601
"2026-07-29 06:00:00",210,-2.466,0.312
"2026-07-29 07:00:00",211,-3.637,-0.533
"2026-07-29 08:00:00",212,-1.394,-0.887
"2026-07-29 09:00:00",213,-1.867,-1.14
"2026-07-29 10:00:00",214,-3.197,-1.03
"2026-07-29 11:00:00",215,-4.265,0.2
"2026-07-29 12:00:00",216,-2.942,0.332
"2026-07-29 13:00:00",217,-4.212,1.078
"2026-07-29 14:00:00",218,-6.891,0.898
"2026-07-29 15:00:00",219,-4.761,0.83
"2026-07-29 16:00:00",220,-6.59,0.57
"2026-07-29 17:00:00",221,-2.219,1.033
"2026-07-29 18:00:00",222,-4.973,0.429
"2026-07-29 19:00:00",223,-5.746,-0.997
"2026-07-29 20:00:00",224,-3.917,-0.401
"2026-07-29 21:00:00",225,-2.039,-1.255
"2026-07-29 22:00:00",226,-1.285,-1.04
"2026-07-29 23:00:00",227,-4.568,0.001
"2026-07-30 00:00:00",228,-3.793,-0.015
"2026-07-30 01:00:00",229,-4.666,-0.133
"2026-07-30 02:00:00",230,-4.538,0.197
"2026-07-30 03:00:00",231,-3.744,-1.063
"2026-07-30 04:00:00",232,-3.12,0.616
"2026-07-30 05:00:00",233,-4.531,-0.039
"2026-07-30 06:00:00",234,-2.456,-0.059
"2026-07-30 07:00:00",235,-3.54,0.203
"2026-07-30 08:00:00",236,-4.067,0.024
"2026-07-30 09:00:00",237,-5.421,-0.223
"2026-07-30 10:00:00",238,-6.591,0.008
"2026-07-30 11:00:00",239,-5.356,1.589
"2026-07-30 12:00:00",240,-7.431,0.918
"2026-07-30 13:00:00",241,-5.767,0.942
"2026-07-30 14:00:00",242,-6.911,-0.47
"2026-07-30 15:00:00",243,-4.256,0.625
"2026-07-30 16:00:00",244,-4.982,-0.196
"2026-07-30 17:00:00",245,-6.702,-0.46
"2026-07-30 18:00:00",246,-2.704,1.193
"2026-07-30 19:00:00",247,-3.281,0.549
"2026-07-30 20:00:00",248,-4.897,-0.089
"2026-07-30 21:00:00",249,-4.946,-0.396
"2026-07-30 22:00:00",250,-3.345,2.15
"2026-07-30 23:00:00",251,-4.161,0.493
"2026-07-31 00:00:00",252,-4.047,1.116
"2026-07-31 01:00:00",253,-4.244,0.34
"2026-07-31 02:00:00",254,-5.521,-0.211
"2026-07-31 03:00:00",255,-4.99,-1.433
"2026-07-31 04:00:00",256,-5.811,-0.137
"2026-07-31 05:00:00",257,-4.771,0.41
"2026-07-31 06:00:00",258,-6.642,1.14
"2026-07-31 07:00:00",259,-4.252,-1.182
"2026-07-31 08:00:00",260,-4.873,0.738
"2026-07-31 09:00:00",261,-2.469,-0.83
"2026-07-31 10:00:00",262,-4.362,-0.392
"2026-07-31 11:00:00",263,-2.482,0.935
"2026-07-31 12:00:00",264,-2.954,0.609
"2026-07-31 13:00:00",265,-5.483,0.272
"2026-07-31 14:00:00",266,-3.547,0.179
"2026-07-31 15:00:00",267,-3.51,-1.523
"2026-07-31 16:00:00",268,-1.848,0.061
"2026-07-31 17:00:00",269,-1.024,-0.669
"2026-07-31 18:00:00",270,-2.963,0.946
"2026-07-31 19:00:00",271,-2.528,-0.054
"2026-07-31 20:00:00",272,-2.392,-0.126
"2026-07-31 21:00:00",273,-3.484,-0.41
"2026-07-31 22:00:00",274,-2.455,0.133
"2026-07-31 23:00:00",275,-0.392,0.764
"2026-08-01 00:00:00",276,1.024,0.143
"2026-08-01 01:00:00",277,-0.005,1.087
"2026-08-01 02:00:00",278,-0.322,0.674
"2026-08-01 03:00:00",279,-1.839,-0.262
"2026-08-01 04:00:00",280,-2.383,0.027
"2026-08-01 05:00:00",281,-0.753,0.862
"2026-08-01 06:00:00",282,-1.198,0.772
"2026-08-01 07:00:00",283,-2.699,-0.009
"2026-08-01 08:00:00",284,-2.403,-0.41
"2026-08-01 09:00:00",285,-1.829,-0.739
"2026-08-01 10:00:00",286,0.68,1.028
"2026-08-01 11:00:00",287,-0.27,1.112
"2026-08-01 12:00:00",288,-2.094,-0.672
"2026-08-01 13:00:00",289,-2.965,-1.07
"2026-08-01 14:00:00",290,-4.49,-0.241
"2026-08-01 15:00:00",291,-5.626,-0.909
"2026-08-01 16:00:00",292,-5.978,-0.405
"2026-08-01 17:00:00",293,-3.471,-0.581
"2026-08-01 18:00:00",294,-3.636,-0.125
"2026-08-01 19:00:00",295,-3.021,0.492
"2026-08-01 20:00:00",296,-2.039,0.671
"2026-08-01 21:00:00",297,-1.15,0.292
"2026-08-01 22:00:00",298,-2.242,-1.028
"2026-08-01 23:00:00",299,-0.437,-2.348
"2026-08-02 00:00:00",300,-3.057,-0.875
"2026-08-02 01:00:00",301,0.308,-1.823
"2026-08-02 02:00:00",302,-1.878,-1.399
"2026-08-02 03:00:00",303,-2.147,-1.532
"2026-08-02 04:00:00",304,-2.387,-0.624
"2026-08-02 05:00:00",305,-1.281,-0.736
"2026-08-02 06:00:00",306,-1.931,0.403
"2026-08-02 07:00:00",307,-1.519,-0.407
"2026-08-02 08:00:00",308,-1.245,0.366
"2026-08-02 09:00:00",309,-1.465,-0.064
"2026-08-02 10:00:00",310,-3.657,-0.416
"2026-08-02 11:00:00",311,-3.716,-0.008
"2026-08-02 12:00:00",312,-4.298,-1.293
"2026-08-02 13:00:00",313,-5.08,-1.728
"2026-08-02 14:00:00",314,-6.095,-2.3
"2026-08-02 15:00:00",315,-8.03,-2.159
"2026-08-02 16:00:00",316,-7.678,-0.597
"2026-08-02 17:00:00",317,-5.628,-0.778
