		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
05/11/25	12:00 p	53.4	54.6	52.2	74	45.3	7.8	ESE	7.83	19.1	SSE	49.9	52.8	49.3	---	29.948	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.483	0.000	59.5	54	42.8	57.7	10.15	 .0758	0.000	537	1	39.3	60
05/11/25	1:00 p	55.0	55.5	54.4	63	42.6	7.0	SE	6.96	20.9	S	52.5	53.8	51.3	---	29.988	0.00	0.00	190	16.34	190	1.3	0.56	1.3	0.417	0.000	60.7	54	43.9	58.9	10.15	 .0757	0.000	418	1	30.6	60
05/11/25	2:00 p	54.6	55.3	53.7	63	42.3	7.8	SE	7.83	17.4	ESE	51.3	53.4	50.1	---	29.997	0.00	0.00	---	---	---	---	---	---	0.433	0.000	61.7	54	44.9	60.0	10.15	 .0756	0.000	507	1	37.1	60
05/11/25	3:00 p	55.6	56.8	54.8	55	39.7	6.1	SE	6.09	19.1	SSE	53.9	54.0	52.3	---	30.009	0.00	0.00	---	---	---	---	---	---	0.392	0.000	62.3	54	45.4	60.6	10.15	 .0755	0.000	994	1	72.7	60
05/11/25	4:00 p	57.7	59.4	56.6	46	37.0	7.0	SE	6.96	17.4	E	55.7	55.5	53.5	---	30.009	0.00	0.00	---	---	---	---	---	---	0.304	0.000	62.6	54	45.7	61.0	10.15	 .0754	0.000	969	1	70.8	60
05/11/25	5:00 p	59.9	61.0	59.4	30	28.4	6.1	SE	6.09	20.9	SE	59.1	56.5	55.7	---	30.009	0.00	0.00	---	---	---	---	---	---	0.212	0.000	63.1	54	46.2	61.5	10.15	 .0753	0.000	970	1	70.9	60
05/11/25	6:00 p	61.3	62.3	60.0	36	34.1	5.2	SE	5.22	20.0	ESE	61.2	58.3	58.2	---	30.012	0.00	0.00	---	---	---	---	---	---	0.154	0.000	63.7	54	46.7	62.2	10.15	 .0752	0.000	1003	1	73.3	60
05/11/25	7:00 p	61.1	61.9	60.0	38	35.3	6.1	SE	6.09	21.7	SE	60.5	58.2	57.6	---	30.018	0.00	0.00	---	---	---	---	---	---	0.163	0.000	64.4	53	46.9	62.8	9.95	 .0752	0.000	991	1	72.4	60
05/11/25	8:00 p	62.2	63.5	61.4	26	26.9	6.1	SE	6.09	23.5	SE	61.9	58.0	57.7	---	30.016	0.00	0.00	---	---	---	---	---	---	0.117	0.000	65.1	52	47.0	63.5	9.75	 .0750	0.000	1039	1	76.0	60
05/11/25	9:00 p	62.3	62.9	61.6	28	28.7	7.0	SSE	6.96	22.6	SE	61.3	58.5	57.5	---	30.035	0.00	0.00	---	---	---	---	---	---	0.113	0.000	65.8	52	47.7	64.3	9.73	 .0750	0.000	923	1	67.5	60
05/11/25	10:00 p	61.5	62.0	60.8	30	29.7	6.1	SE	6.09	20.9	SSE	61.1	58.0	57.6	---	30.057	0.00	0.00	---	---	---	---	---	---	0.146	0.000	66.5	51	47.8	65.0	9.52	 .0749	0.000	910	1	66.5	60
05/11/25	11:00 p	60.6	61.0	60.3	31	29.8	5.2	SE	5.22	18.3	SSE	60.3	57.2	56.9	---	30.089	0.00	0.00	---	---	---	---	---	---	0.183	0.000	67.0	48	46.7	65.3	8.91	 .0750	0.000	968	1	70.8	60
05/12/25	12:00 a	58.6	60.3	56.9	31	28.0	4.3	SSE	4.35	15.7	SSE	58.3	55.4	55.1	---	30.129	0.00	0.00	---	---	---	---	---	---	0.267	0.000	66.9	47	46.0	65.1	8.81	 .0751	0.000	1050	1	76.8	60
05/12/25	1:00 a	56.2	56.9	55.8	34	28.2	3.5	SSE	3.48	14.8	S	56.0	53.4	53.2	---	30.165	0.00	0.00	---	---	---	---	---	---	0.367	0.000	66.5	47	45.6	64.7	8.82	 .0753	0.000	1017	1	74.3	60
05/12/25	2:00 a	54.6	55.7	53.2	41	31.3	1.7	SE	1.74	12.2	S	54.6	52.4	52.4	---	30.183	0.00	0.00	---	---	---	---	---	---	0.433	0.000	65.7	47	44.9	63.8	8.84	 .0754	0.000	1059	1	77.4	60
05/12/25	3:00 a	52.3	53.2	51.7	40	28.7	1.7	E	1.74	9.6	SE	52.3	50.3	50.3	---	30.209	0.00	0.00	---	---	---	---	---	---	0.529	0.000	64.8	48	44.6	62.9	8.96	 .0756	0.000	1108	1	81.0	60
05/12/25	4:00 a	51.3	52.7	49.6	52	34.3	2.6	E	2.61	11.3	ENE	51.1	50.0	49.8	---	30.230	0.00	0.00	---	---	---	---	---	---	0.571	0.000	63.9	48	43.8	61.9	8.99	 .0759	0.000	1122	1	82.0	60
05/12/25	5:00 a	48.3	49.6	47.6	45	27.9	1.7	E	1.74	6.1	SE	48.3	47.0	47.0	---	30.242	0.00	0.00	---	---	---	---	---	---	0.696	0.000	63.0	48	43.0	60.9	9.03	 .0760	0.000	1148	1	83.9	60
05/12/25	6:00 a	49.6	49.8	48.7	47	30.2	3.5	SE	3.48	8.7	ESE	48.4	48.3	47.1	---	30.225	0.00	0.00	---	---	---	---	---	---	0.642	0.000	62.0	49	42.6	59.9	9.27	 .0761	0.000	1196	1	87.4	60
05/12/25	7:00 a	48.8	49.7	46.7	62	36.4	0.9	SSE	0.87	4.3	SSE	48.8	48.1	48.1	---	30.244	0.00	0.00	---	---	---	---	---	---	0.675	0.000	61.1	49	41.8	59.0	9.31	 .0764	0.000	1166	1	85.2	60
05/12/25	8:00 a	45.6	46.7	44.7	67	35.3	1.7	E	1.74	5.2	E	45.6	45.0	45.0	---	30.240	0.00	0.00	---	---	---	---	---	---	0.808	0.000	60.3	50	41.6	58.3	9.44	 .0765	0.000	1107	1	80.9	60
05/12/25	9:00 a	47.3	49.3	45.8	63	35.3	1.7	E	1.74	4.3	E	47.3	46.6	46.6	---	30.244	0.00	0.00	---	---	---	---	---	---	0.738	0.000	59.8	50	41.1	57.8	9.45	 .0766	0.000	1103	1	80.6	60
05/12/25	10:00 a	46.7	48.1	45.8	60	33.5	0.9	E	0.87	3.5	E	46.7	45.9	45.9	---	30.248	0.00	0.00	---	---	---	---	---	---	0.762	0.000	59.4	50	40.7	57.4	9.46	 .0766	0.000	1092	1	79.8	60
05/12/25	11:00 a	47.0	48.1	46.5	63	35.0	2.6	NE	2.61	6.1	NE	46.3	46.3	45.6	---	30.247	0.00	0.00	---	---	---	---	---	---	0.750	0.000	59.5	50	40.8	57.5	9.46	 .0766	0.000	1103	1	80.6	60
